id,image,text,type,original_dataset_label,model_prediction,human_annotation,majority_voting
96578,../FHM/img/96578.png,mohammad is fucked by blink hacker group oink oink hi my name s mohammad fuck you muslims,train,1,1,,1
35618,../FHM/img/35618.png,i woke up like this,train,0,0,,0
5249,../FHM/img/05249.png,i am still so confused about the strategies in this game,train,0,0,,0
57349,../FHM/img/57349.png,at first i didn t want to wear a hijab but my husband convinced me otherwise,train,0,0,,0
78409,../FHM/img/78409.png,i stand with hitler these was this time at auschwitz when i needed medical attention and doctor mengele was there for me,train,1,1,,1
29814,../FHM/img/29814.png,if you hold a black baby to your ear you can hear the police sirens,train,1,0,0,0
20568,../FHM/img/20568.png,meanwhile at the isis strip club,train,0,1,1,1
84269,../FHM/img/84269.png,just ordered the new anne frank puzzle,train,0,0,,0
68079,../FHM/img/68079.png,what s the difference between a walrus and a lesbian one smells like fish and has a moustache and the other is a walrus,train,0,0,,0
41537,../FHM/img/41537.png,i m not transphobic i just think trans people shouldn t exist,train,0,1,1,1
12890,../FHM/img/12890.png,hitler getting his tan on,train,0,1,1,1
54102,../FHM/img/54102.png,i m uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice,train,1,1,,1
63217,../FHM/img/63217.png,when you re facetimeing and accidently fall down the stairs,train,0,0,,0
3271,../FHM/img/03271.png,when your wife and girlfriend dont get along,train,0,1,1,1
35264,../FHM/img/35264.png,i like your cologne what is that tricare deers,train,0,0,,0
63710,../FHM/img/63710.png,literally nobody white people sitting at the bar can you put it on the golf channel,train,1,0,0,0
12348,../FHM/img/12348.png,bitch say something else,train,0,1,1,1
14052,../FHM/img/14052.png,this is racist but this is not,train,1,0,0,0
81064,../FHM/img/81064.png,your tits in my hands put them you will,train,0,1,1,1
74391,../FHM/img/74391.png,there must be some way this victimizes me,train,0,0,,0
36152,../FHM/img/36152.png,when your eating out your grandma and you taste horse cum then think to yourself oh that s how she died,train,0,1,1,1
80256,../FHM/img/80256.png,damn girl that s a policy i could get behind,train,0,0,,0
21948,../FHM/img/21948.png,this guy grabs your girl s ass in the bar what do you do,train,0,1,1,1
70532,../FHM/img/70532.png,it s important to listen to your elders please don t forget,train,0,0,,0
25806,../FHM/img/25806.png,when you have to make your own pool,train,0,0,,0
26759,../FHM/img/26759.png,that look when you wanna cut a bitch but you remember your a changed man,train,1,0,1,1
27398,../FHM/img/27398.png,if you believe that i ve got a virgin goat to sell you,train,0,0,,0
18730,../FHM/img/18730.png,immigration invasion learn the difference,train,0,0,,0
75216,../FHM/img/75216.png,want one as a slave when you watch how slow they work and you wonder why anyone would,train,0,1,1,1
91754,../FHM/img/91754.png,when you finally buy a dishwasher this works a lot better than a sponge,train,0,0,,0
42153,../FHM/img/42153.png,we build our houses with stone,train,0,0,,0
83456,../FHM/img/83456.png,whats the difference between santa and the jews santa goes down the chimney,train,1,1,,1
18673,../FHM/img/18673.png,how to remember kid in hot car keep nd road beer with them,train,0,0,,0
97523,../FHM/img/97523.png,you are so cute,train,0,0,,0
24631,../FHM/img/24631.png,it s ma am yooouu lookah like a man,train,1,0,1,1
23748,../FHM/img/23748.png,bigbird singing to child on seasame street,train,0,0,,0
69412,../FHM/img/69412.png,best part about a hooker dying on you the nd hour is free,train,0,1,1,1
59073,../FHM/img/59073.png,the enemy within ilhan omar linda sarsour rashida tlaib ocasto cortez,train,0,1,1,1
28405,../FHM/img/28405.png,white people already paid reparations,train,0,1,1,1
63492,../FHM/img/63492.png,making america white again,train,0,0,,0
92670,../FHM/img/92670.png,scared you today didn t i,train,0,0,,0
78351,../FHM/img/78351.png,subway is similar to prostitution you pay someone else to do your wife s job,train,0,0,,0
79856,../FHM/img/79856.png,my friends coming to see me after a crazy friday night,train,0,0,,0
71436,../FHM/img/71436.png,trump supporters be like mexicans stole my teeth,train,0,1,1,1
3258,../FHM/img/03258.png,i heard we can get free steroids in australia please help feed and house this poor defenceless refugee don t be racist and let me in,train,1,1,,1
20736,../FHM/img/20736.png,go be gay somewhere else,train,1,1,,1
50487,../FHM/img/50487.png,celebreated on january th because i know how to reduce fractions,train,0,0,,0
6431,../FHM/img/06431.png,when the employee asks what bra size you wear,train,0,0,,0
51473,../FHM/img/51473.png,god creates jews god creates jesus jews kill jesus god creates hitler god,train,1,1,,1
34901,../FHM/img/34901.png,gays aids it really be like that,train,0,0,,0
28793,../FHM/img/28793.png,congratulations it s non binary,train,0,0,,0
5172,../FHM/img/05172.png,islam is the religion of peace if you don t agree i kill you,train,0,1,1,1
98501,../FHM/img/98501.png,send me sexy pic,train,0,1,1,1
96231,../FHM/img/96231.png,when you re a convicted rapist but reruns of your show are still on tv because it s not like you tweeted something,train,0,1,1,1
81673,../FHM/img/81673.png,when they don t get the memo that they lost the war,train,0,1,1,1
48635,../FHM/img/48635.png,the look you give when the bubbles in the pool are pulsating your pussy just kidding she s retarted and thats her normal face,train,1,1,,1
43612,../FHM/img/43612.png,racing for pink slips in africa,train,1,0,0,0
15480,../FHM/img/15480.png,we kill you on and you elect of us to congress stupid infidels,train,1,1,,1
41830,../FHM/img/41830.png,if he s marrying me then why s he fucking my mom,train,0,1,1,1
81069,../FHM/img/81069.png,when you bout to nut in your cousin and you hear the barn door open,train,0,1,1,1
72584,../FHM/img/72584.png,months before i was born i went to a party with my dad and left with my mom,train,0,0,,0
51763,../FHM/img/51763.png,go be gay somewhere else,train,0,1,1,1
6873,../FHM/img/06873.png,just got a bootleg copy of muslim porn deep goat,train,1,1,,1
8523,../FHM/img/08523.png,cute getting ready to start kid her life too bad shes already fkn dead raped and murdered by an illegal immigrant,train,1,1,,1
6359,../FHM/img/06359.png,what women think they ll do when the economy collapses vs what they ll actually do,train,0,0,,0
93260,../FHM/img/93260.png,when she smiles at you from a distance,train,0,0,,0
40839,../FHM/img/40839.png,see if you can find the guys from white chicks lol,train,0,0,,0
8516,../FHM/img/08516.png,smirked at an adult media coverage days shot up a school media coverage days,train,0,0,,0
53012,../FHM/img/53012.png,nothing says pull me over like some red solo cup brake lights,train,0,0,,0
76250,../FHM/img/76250.png,chillin with my chromies,train,1,0,0,0
26198,../FHM/img/26198.png,hillary isn t in jail the wall isn t built isis hasn t been defeated obamacare is still in place but trump gave himself a million tax cut and that is important to me,train,0,1,1,1
61952,../FHM/img/61952.png,what i say about the gunman every time there s a mass shooting,train,0,0,,0
80269,../FHM/img/80269.png,this is really out of mein kampfert zone,train,1,0,1,1
5712,../FHM/img/05712.png,god will forgive you no matter what you ve done sweet,train,0,0,,0
72941,../FHM/img/72941.png,hey liberals democrats have you forgotten,train,0,1,1,1
21853,../FHM/img/21853.png,pure american muscle,train,0,0,,0
35219,../FHM/img/35219.png,they stole ma chickin i stole their life,train,1,0,1,1
90146,../FHM/img/90146.png,all races are equal,train,0,0,,0
51278,../FHM/img/51278.png,when you haven t stolen anything in a week,train,0,0,,0
63095,../FHM/img/63095.png,when you have errands to run but you re too tired to deal,train,0,0,,0
96058,../FHM/img/96058.png,husband gives massage aaaand now i have a dick in me,train,0,1,1,1
56871,../FHM/img/56871.png,who cares if mexicans are offended americans are offended by illegal immigration,train,1,1,,1
25180,../FHM/img/25180.png,hold up when she says she likes hung black men so you take her back to your place and she starts tying a noose,train,1,1,,1
37259,../FHM/img/37259.png,loyalty always has a cost some times it pays off and some times you take a loss,train,0,0,,0
48106,../FHM/img/48106.png,fuck islam,train,1,1,,1
19352,../FHM/img/19352.png,ain t nothing but a goat,train,0,0,,0
65213,../FHM/img/65213.png,what your ancestors were doing july what dummies do today for july th,train,0,0,,0
24368,../FHM/img/24368.png,ignorance and hate will lead you to nothing but shame,train,0,1,1,1
58426,../FHM/img/58426.png,when there is no pinyata at the party but the emo kid just hung himself improvise adapt overcome,train,0,0,,0
96785,../FHM/img/96785.png,lost african tribe,train,0,0,,0
40567,../FHM/img/40567.png,anne frank writing in her diary,train,0,0,,0
38625,../FHM/img/38625.png,a german ss soldier punishing a small jewish boy by sticking a sharpened spear in the boys anus auschwitz concentration camp poland colorized,train,1,1,,1
4823,../FHM/img/04823.png,definitely a new cultural era,train,0,0,,0
25368,../FHM/img/25368.png,when you suicide bomb an islamic mosque during a friday worship,train,1,1,,1
93826,../FHM/img/93826.png,my wife asked me where i d like to be buried apparently balls deep in your sister wasn t the answer she was expecting,train,0,1,1,1
56392,../FHM/img/56392.png,dick punch funny regardless of species,train,0,0,,0
30986,../FHM/img/30986.png,this beef is so raw its eating the salad,train,0,0,,0
75823,../FHM/img/75823.png,lisa page obama doj ordered fbi not to prosecute hillary clinton why is the mainstream media ignoring this bombshell,train,0,0,,0
84072,../FHM/img/84072.png,when you re fucking but wanna make sure he s not stealing anything,train,0,1,1,1
93147,../FHM/img/93147.png,replaced kitty litter with pop rocks,train,0,0,,0
92874,../FHM/img/92874.png,so convert to islam or die i say fuck it let s roll,train,1,1,,1
27946,../FHM/img/27946.png,cadbury s halal creme eggs now available in special edition,train,1,0,0,0
93614,../FHM/img/93614.png,i m sorry i left the seat up it won t happen again,train,0,0,,0
93521,../FHM/img/93521.png,ever notice that christians are bad drivers,train,1,0,0,0
2691,../FHM/img/02691.png,teaching them how to hunt young,train,0,0,,0
91708,../FHM/img/91708.png,when mohamed puts it inside,train,0,0,,0
25783,../FHM/img/25783.png,let s see if they get scared now bring they ass out here we will cut their heads off,train,0,1,1,1
16098,../FHM/img/16098.png,when you find out who s been eating your leftovers,train,0,0,,0
30452,../FHM/img/30452.png,trump supporters be like show me where he lied,train,0,0,,0
86491,../FHM/img/86491.png,you are not wanted you are a mental deficient,train,0,1,1,1
14530,../FHM/img/14530.png,it s a proven fact marines islamic radicals are less prone to violent acts after they ve been shot in the head,train,1,1,,1
81734,../FHM/img/81734.png,when instincts take over,train,0,0,,0
4683,../FHM/img/04683.png,when you make a meme using a different language that everyone can still understand no es mucho pero es trabajo honesto,train,0,0,,0
8593,../FHM/img/08593.png,years later,train,1,0,0,0
92608,../FHM/img/92608.png,says he alone is tough enough to defeat isis still too chickenshit to release his tax returns,train,0,1,1,1
61453,../FHM/img/61453.png,when you find the cake your mum was hiding from you,train,0,0,,0
39601,../FHM/img/39601.png,welcome refugees to poland s newest star hotel,train,0,0,,0
12035,../FHM/img/12035.png,i date crazy bikers with beards cause once you ride a beard and a harley you don t go back,train,0,0,,0
56482,../FHM/img/56482.png,heroin is destroying the white community keep up the good work heroin,train,1,1,,1
56287,../FHM/img/56287.png,and then i says to her no i got your nose,train,0,0,,0
19036,../FHM/img/19036.png,infamous,train,0,0,,0
34852,../FHM/img/34852.png,gee i d like to suicide bomb the crap out of that church but i got a thing at couldn t abdul do it,train,1,1,,1
62804,../FHM/img/62804.png,look at this throatagraph,train,0,0,,0
81579,../FHM/img/81579.png,the look your women gives you when you can t finsh the job,train,0,0,,0
80247,../FHM/img/80247.png,the pimp hand strong enough for man but made for teaching,train,0,0,,0
52890,../FHM/img/52890.png,wait this isn t my dog,train,0,0,,0
2485,../FHM/img/02485.png,real friendship is sending them a link to something terrible so you can both be traumatised at the same time i torture all my friends it s how i show love,train,0,0,,0
50793,../FHM/img/50793.png,a muslim in congress wants to get rid of homeland security let that sink in,train,0,1,1,1
13857,../FHM/img/13857.png,this is why we shoot you guys,train,0,1,1,1
43617,../FHM/img/43617.png,this chick can t stand fishing,train,0,0,,0
70942,../FHM/img/70942.png,lesbians should not be allowed to buy dildos you made your choice bitch now live with it,train,0,1,1,1
49601,../FHM/img/49601.png,when your fifth pet eats food from another guys hand,train,0,0,,0
35102,../FHM/img/35102.png,please be patient we creating a better fuckup for all,train,0,1,1,1
10659,../FHM/img/10659.png,chinese ppl be like happy thanksgiving,train,0,0,,0
36081,../FHM/img/36081.png,in this edition we don t buy property we steal it,train,1,0,1,1
68325,../FHM/img/68325.png,it happend mom a black guy gave me complement ohhh sweety i m so sorry that means you need to lose about pounds,train,1,0,0,0
39256,../FHM/img/39256.png,this isn t the way there s always a better way,train,0,0,,0
98362,../FHM/img/98362.png,it s ma am look i found a penis,train,1,0,0,0
38475,../FHM/img/38475.png,i don t always feel like i m at the top of the gene pool but when i do i m at walmart,train,0,0,,0
49083,../FHM/img/49083.png,when you catch your goat with another man ya done fucked up,train,0,1,1,1
45938,../FHM/img/45938.png,hey i just met you and this is crazy this is my grenade so blow me maybe,train,1,0,1,1
67823,../FHM/img/67823.png,as much as abdul tried he could not get the fucker into first gear,train,0,1,1,1
70928,../FHM/img/70928.png,when you drink and drive you will get busted,train,0,0,,0
24309,../FHM/img/24309.png,when people ask me who my favorite golden girl is,train,0,0,,0
70925,../FHM/img/70925.png,where did jimmy go during the bombing everywhere,train,1,0,0,0
5269,../FHM/img/05269.png,been talking shit about trump since day one now crying like bitches after getting called out,train,0,1,1,1
61278,../FHM/img/61278.png,in a wolrd full of these people be this person,train,0,0,,0
81675,../FHM/img/81675.png,when your boss asks for the report but you went out the past few nights,train,0,0,,0
38629,../FHM/img/38629.png,a good heart goes a long way,train,0,0,,0
6458,../FHM/img/06458.png,oh you re tired of my anti trump posts why don t you pray for me to stop,train,0,1,1,1
71364,../FHM/img/71364.png,obama voters,train,1,0,0,0
26794,../FHM/img/26794.png,feel that it used to belong to bruce jenner,train,0,0,,0
85704,../FHM/img/85704.png,how people look at me when i tell em i don t have kids,train,0,0,,0
75102,../FHM/img/75102.png,whose dick do i have to suck to get these charges dropped,train,0,1,1,1
91268,../FHM/img/91268.png,can afford to travel from romania to london still picks your pocket,train,0,0,,0
42179,../FHM/img/42179.png,immigrants illegal aliens,train,1,0,1,1
35097,../FHM/img/35097.png,meanwhile at the isis strip club,train,0,1,1,1
83570,../FHM/img/83570.png,the loudest one in the room is the weakest one in the room,train,0,0,,0
56490,../FHM/img/56490.png,how could this happen in the current year when it s and there are still people who refuse to celebrate rectal wart sex,train,1,0,1,1
7968,../FHM/img/07968.png,ernie mocks tyrone s lack of a father in front of the whole class,train,1,1,,1
81259,../FHM/img/81259.png,when you see a child in a gay parade half naked twerking with everyone celebrating ernie prepares to commit a hate crime,train,1,1,,1
19753,../FHM/img/19753.png,how many times do we have to teach you this lesson you tranny freaks,train,1,1,,1
61480,../FHM/img/61480.png,why is it bad to be a black jew because you have to sit at the back of the oven,train,1,1,,1
54790,../FHM/img/54790.png,what people do in the bedroom is not anyone else s business,train,0,0,,0
43517,../FHM/img/43517.png,when you hear em yelling that allahakbar crap just shoot em before they blow up a bomb or start stabbin and shootin people,train,1,1,,1
25068,../FHM/img/25068.png,i really like cent or as we call him in zimbabwe billion dollars,train,0,0,,0
35861,../FHM/img/35861.png,banner in the streets hulk in the sheets,train,0,0,,0
92741,../FHM/img/92741.png,wait mohammad come back i didn t mean to laugh really size doesh t matter to me lol,train,0,0,,0
51736,../FHM/img/51736.png,america has stolen the jews the jews of god his jewelry the negroes they are the true hebrews google it,train,1,1,,1
26417,../FHM/img/26417.png,left lanes need to exit right right lanes need to exit left here s feet make it happen,train,0,0,,0
18407,../FHM/img/18407.png,wing wing wing herro thats racist,train,0,1,1,1
47326,../FHM/img/47326.png,we are soldiers and we fight for our countries to our last minutes,train,0,0,,0
50768,../FHM/img/50768.png,liz krueger n y state democratic senater wants to infiltrate the nra and take it over yeah just like she infiltrated mcdonalds all those years,train,0,0,,0
86594,../FHM/img/86594.png,wait for it,train,0,0,,0
63581,../FHM/img/63581.png,wants you to accept him for being a girl couldn t accept himself at birth,train,0,1,1,1
95426,../FHM/img/95426.png,i hate all fucking jews they are scum of the earth,train,1,1,,1
10264,../FHM/img/10264.png,when you eat her ass and then she say that she don t suck dick wayment,train,0,1,1,1
79312,../FHM/img/79312.png,for seal thanks very fucking useful,train,0,1,1,1
17832,../FHM/img/17832.png,it s time we make peace with islam,train,0,0,,0
15432,../FHM/img/15432.png,when ur too young to know the concept of racism but ur happy cause u got a new pet,train,0,0,,0
34506,../FHM/img/34506.png,what s the difference between menstrual blood and sand you can t gargle sand,train,0,1,1,1
30492,../FHM/img/30492.png,when i grow up i m going to be a famous doctor,train,0,0,,0
31794,../FHM/img/31794.png,i said a glass of orange juice not just any juice,train,0,1,1,1
4175,../FHM/img/04175.png,im not racist because racism is a crime and crime is for black people,train,1,1,,1
61578,../FHM/img/61578.png,still smiles even when they are scared,train,0,0,,0
31479,../FHM/img/31479.png,the only perferred pronouns a tranny needs is it or thing,train,1,1,,1
17659,../FHM/img/17659.png,ex girfriends be like i don t even care what he does anymore,train,0,0,,0
29785,../FHM/img/29785.png,he s making a list checking it twice gonna find out who s getting deported by i c e,train,0,1,1,1
17205,../FHM/img/17205.png,i win again parkinson s center,train,1,0,0,0
74132,../FHM/img/74132.png,fuck allah fuck muslims and fuck islam and if you don t like what i say then fuck,train,1,1,,1
15649,../FHM/img/15649.png,be kind to those less fortunate than you,train,0,0,,0
51460,../FHM/img/51460.png,love is love respect,train,0,0,,0
60329,../FHM/img/60329.png,we swore we d never forget,train,0,0,,0
58276,../FHM/img/58276.png,i may be blind but at least i m rich,train,0,0,,0
40752,../FHM/img/40752.png,you don t need an ar to protect yourself but he does and this guy and this guy and him and him and him,train,0,0,,0
79315,../FHM/img/79315.png,laughs in of us crime rate,train,0,0,,0
3241,../FHM/img/03241.png,when black people make white jokes when white people make black jokes,train,1,0,0,0
38041,../FHM/img/38041.png,justin trudeau the imam of canada,train,0,0,,0
40897,../FHM/img/40897.png,with sensitive ass people my sense of humor is way too fucked up for that,train,0,1,1,1
56180,../FHM/img/56180.png,my little brother ate all the scrabble tiles sense than alexandria ocasio corte ton and his shit makes more sense than alexandria ocasio cortez,train,0,1,1,1
37865,../FHM/img/37865.png,i m not saying that your perfume is too strong all i m saying is that the canary was alive before you got here,train,0,0,,0
36974,../FHM/img/36974.png,do you have any idea how black you were going,train,0,0,,0
61780,../FHM/img/61780.png,you may be a racist if your response to a question from an african american is to mention the inner city times,train,1,0,1,1
81546,../FHM/img/81546.png,when i was a kid i thought black people were made from anal sex,train,1,1,,1
